
---------- Begin Simulation Statistics ----------
final_tick                               432144829500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 284746                       # Simulator instruction rate (inst/s)
host_mem_usage                               10725708                       # Number of bytes of host memory used
host_op_rate                                   304506                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3511.91                       # Real time elapsed on the host
host_tick_rate                              123051374                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000005                       # Number of instructions simulated
sim_ops                                    1069397199                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.432145                       # Number of seconds simulated
sim_ticks                                432144829500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 441305379                       # number of cc regfile reads
system.cpu.cc_regfile_writes                450457182                       # number of cc regfile writes
system.cpu.committedInsts                  1000000005                       # Number of Instructions Simulated
system.cpu.committedOps                    1069397199                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.864290                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.864290                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses         557958                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses              0                       # number of false blocks from MSHR
system.cpu.idleCycles                           81923                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts             14523087                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                198102220                       # Number of branches executed
system.cpu.iew.exec_nop                        957549                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.638955                       # Inst execution rate
system.cpu.iew.exec_refs                    563536730                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  147357013                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                58930455                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             365852020                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                582                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts           3745008                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            157937186                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1460254107                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             416179717                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          22910453                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1416532008                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 467043                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              93027720                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles               12091845                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              93743103                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          58141                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      8034611                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        6488476                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1303016831                       # num instructions consuming a value
system.cpu.iew.wb_count                    1316486051                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.613707                       # average fanout of values written-back
system.cpu.iew.wb_producers                 799670651                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.523200                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1328322853                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1905129953                       # number of integer regfile reads
system.cpu.int_regfile_writes               982315892                       # number of integer regfile writes
system.cpu.ipc                               1.157020                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.157020                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                65      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             865959308     60.16%     60.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               105144      0.01%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                   108      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  22      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                 41      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    2      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                   32      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   99      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     60.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              161429      0.01%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 18      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     60.18% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            423524979     29.42%     89.60% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           149691217     10.40%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total             1439442464                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                    23005809                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015982                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 3055808     13.28%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     13.28% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead               18540579     80.59%     93.87% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite               1409422      6.13%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses             1397849856                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads         3640826456                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses   1270210025                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes        1802941494                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                 1459295975                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                1439442464                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                 583                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined       389899276                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            903512                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved             95                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined    264930497                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     864207738                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.665621                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        1.963487                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0           376597078     43.58%     43.58% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1           126187456     14.60%     58.18% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2           108111064     12.51%     70.69% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            75530247      8.74%     79.43% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4            89400790     10.34%     89.77% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5            45111697      5.22%     94.99% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6            23300017      2.70%     97.69% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7            12274720      1.42%     99.11% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8             7694669      0.89%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       864207738                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.665463                       # Inst issue rate
system.cpu.iq.vec_alu_accesses               64598352                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads          126175528                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses     46276026                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes          46310351                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads          46625324                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores         36915214                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads            365852020                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores           157937186                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads              3771141106                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     77                       # number of misc regfile writes
system.cpu.numCycles                        864289661                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.pred_regfile_reads                     116                       # number of predicate regfile reads
system.cpu.pred_regfile_writes                     44                       # number of predicate regfile writes
system.cpu.timesIdled                             936                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.vec_regfile_reads                 30829943                       # number of vector regfile reads
system.cpu.vec_regfile_writes                15447544                       # number of vector regfile writes
system.cpu.workload.numSyscalls                   421                       # Number of system calls
system.l2.MSHRs.leapFrogMisses                      0                       # number of false blocks from MSHR
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests      9637096                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests      19307392                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests            1                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests     23844426                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops       335429                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests     47683294                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops         335429                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.branchPred.lookups               257891928                       # Number of BP lookups
system.cpu.branchPred.condPredicted         215156418                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect          11827385                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups            137738477                       # Number of BTB lookups
system.cpu.branchPred.BTBHits               137640111                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.928585                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                 7942064                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                  2                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups           85880                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits              82501                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses             3379                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted           80                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts       387292600                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls             488                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts          11826962                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples    808604318                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.323407                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.414210                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0       509110680     62.96%     62.96% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1       110485982     13.66%     76.63% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2        46571156      5.76%     82.38% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3        25821180      3.19%     85.58% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4        14587858      1.80%     87.38% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5        14318688      1.77%     89.15% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6        17046429      2.11%     91.26% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7         8501536      1.05%     92.31% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8        62160809      7.69%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total    808604318                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted           1000715310                       # Number of instructions committed
system.cpu.commit.opsCommitted             1070112504                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                   401443386                       # Number of memory references committed
system.cpu.commit.loads                     276881998                       # Number of loads committed
system.cpu.commit.amos                             28                       # Number of atomic instructions committed
system.cpu.commit.membars                          21                       # Number of memory barriers committed
system.cpu.commit.branches                  155578103                       # Number of branches committed
system.cpu.commit.vector                     46265059                       # Number of committed Vector instructions.
system.cpu.commit.floating                          0                       # Number of committed floating point instructions.
system.cpu.commit.integer                   949473353                       # Number of committed integer instructions.
system.cpu.commit.functionCalls               4557105                       # Number of function calls committed.
system.cpu.commit.committedInstType_0::No_OpClass           45      0.00%      0.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntAlu    668404744     62.46%     62.46% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntMult       104247      0.01%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntDiv           34      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMisc           29      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAdd            1      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAlu           23      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCmp           77      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     62.47% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMisc       159902      0.01%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShift           16      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     62.49% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     62.49% # Class of committed instruction
