
---------- Begin Simulation Statistics ----------
final_tick                               793237476500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 225534                       # Simulator instruction rate (inst/s)
host_mem_usage                               11004052                       # Number of bytes of host memory used
host_op_rate                                   256864                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  4433.92                       # Real time elapsed on the host
host_tick_rate                              178902190                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000002                       # Number of instructions simulated
sim_ops                                    1138913451                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.793237                       # Number of seconds simulated
sim_ticks                                793237476500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  63113754                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 63131029                       # number of cc regfile writes
system.cpu.committedInsts                  1000000002                       # Number of Instructions Simulated
system.cpu.committedOps                    1138913451                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.586475                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.586475                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses        1912936                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses             15                       # number of false blocks from MSHR
system.cpu.idleCycles                          149963                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                43413                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 27668053                       # Number of branches executed
system.cpu.iew.exec_nop                         15530                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.767559                       # Inst execution rate
system.cpu.iew.exec_refs                    441031065                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  187890785                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               229123841                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             190831737                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                592                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             33143                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            188078831                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1158294891                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             253140280                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            221583                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1217713639                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents               25102169                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents             170960611                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 260858                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles             211425470                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           6288                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         1860                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          41553                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1046974792                       # num instructions consuming a value
system.cpu.iew.wb_count                    1153066425                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.717151                       # average fanout of values written-back
system.cpu.iew.wb_producers                 750839054                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.726810                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1155088242                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                932424760                       # number of integer regfile reads
system.cpu.int_regfile_writes               230170951                       # number of integer regfile writes
system.cpu.ipc                               0.630328                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.630328                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               166      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             228457873     18.76%     18.76% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              4252129      0.35%     19.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               2321388      0.19%     19.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd           160813669     13.20%     32.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp              270401      0.02%     32.52% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt             4686839      0.38%     32.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult          101790476      8.36%     41.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc       120006337      9.85%     51.12% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv           121956859     10.01%     61.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc           31757287      2.61%     63.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt             540800      0.04%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    2      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                   66      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  162      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                  78      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 30      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     63.78% # Type of FU issued
