
---------- Begin Simulation Statistics ----------
final_tick                               355437178500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 363409                       # Simulator instruction rate (inst/s)
host_mem_usage                                7209296                       # Number of bytes of host memory used
host_op_rate                                   392034                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2751.72                       # Real time elapsed on the host
host_tick_rate                              129169102                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000006                       # Number of instructions simulated
sim_ops                                    1078767395                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.355437                       # Number of seconds simulated
sim_ticks                                355437178500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 436579748                       # number of cc regfile reads
system.cpu.cc_regfile_writes                425000767                       # number of cc regfile writes
system.cpu.committedInsts                  1000000006                       # Number of Instructions Simulated
system.cpu.committedOps                    1078767395                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.710874                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.710874                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses            969                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses            241                       # number of false blocks from MSHR
system.cpu.idleCycles                        14884703                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3662773                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                261077720                       # Number of branches executed
system.cpu.iew.exec_nop                       1175044                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.574404                       # Inst execution rate
system.cpu.iew.exec_refs                    333912804                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   93217572                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                33540742                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             260281546                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts            1140211                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            895130                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             95418808                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1213646325                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             240695232                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3191945                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1119203809                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 857105                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                174866                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3233701                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1254077                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           8225                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2068767                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1594006                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1251544738                       # num instructions consuming a value
system.cpu.iew.wb_count                    1111865164                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.491602                       # average fanout of values written-back
system.cpu.iew.wb_producers                 615261354                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.564081                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1112642549                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1468624746                       # number of integer regfile reads
system.cpu.int_regfile_writes               787499206                       # number of integer regfile writes
system.cpu.ipc                               1.406718                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.406718                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            569365      0.05%      0.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             779136335     69.42%     69.47% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              6262050      0.56%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 29085      0.00%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               27266      0.00%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp               14372      0.00%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                8804      0.00%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult              21319      0.00%     70.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc           23129      0.00%     70.04% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv               12210      0.00%     70.04% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc             126231      0.01%     70.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt               3856      0.00%     70.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    7      0.00%     70.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               162169      0.01%     70.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp               275014      0.02%     70.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     70.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              500878      0.04%     70.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     70.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     70.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              51846      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     70.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     70.14% # Type of FU issued
