
---------- Begin Simulation Statistics ----------
final_tick                               222739492500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 450524                       # Simulator instruction rate (inst/s)
host_mem_usage                                6119432                       # Number of bytes of host memory used
host_op_rate                                   481009                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2219.64                       # Real time elapsed on the host
host_tick_rate                              100349422                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000001                       # Number of instructions simulated
sim_ops                                    1067666431                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.222739                       # Number of seconds simulated
sim_ticks                                222739492500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 261943407                       # number of cc regfile reads
system.cpu.cc_regfile_writes                260563748                       # number of cc regfile writes
system.cpu.committedInsts                  1000000001                       # Number of Instructions Simulated
system.cpu.committedOps                    1067666431                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.445479                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.445479                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses          10897                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses              0                       # number of false blocks from MSHR
system.cpu.idleCycles                         2250501                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3509384                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                125631529                       # Number of branches executed
system.cpu.iew.exec_nop                        664134                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.484435                       # Inst execution rate
system.cpu.iew.exec_refs                    404335065                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  106113199                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9273616                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             303146136                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                187                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts           1196669                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            110783932                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1138406644                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             298221866                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6354274                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1106763838                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 328251                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2326829                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3394844                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2762428                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents         158293                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1694744                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1814640                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1090942342                       # num instructions consuming a value
system.cpu.iew.wb_count                    1101207390                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.649077                       # average fanout of values written-back
system.cpu.iew.wb_producers                 708106014                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.471962                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1102356622                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1491888195                       # number of integer regfile reads
system.cpu.int_regfile_writes               884572162                       # number of integer regfile writes
system.cpu.ipc                               2.244774                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.244774                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              6947      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             691841407     62.15%     62.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              9587323      0.86%     63.02% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               2311151      0.21%     63.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              126027      0.01%     63.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp              195623      0.02%     63.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt              265907      0.02%     63.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult              61420      0.01%     63.28% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc          274612      0.02%     63.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                 911      0.00%     63.31% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc             750753      0.07%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                190      0.00%     63.37% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                92165      0.01%     63.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                76134      0.01%     63.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp               153805      0.01%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 1537      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               21222      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 92      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd           95950      0.01%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     63.41% # Type of FU issued
