
---------- Begin Simulation Statistics ----------
final_tick                               241120518500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 343832                       # Simulator instruction rate (inst/s)
host_mem_usage                                5667132                       # Number of bytes of host memory used
host_op_rate                                   375071                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2908.40                       # Real time elapsed on the host
host_tick_rate                               82904930                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000001                       # Number of instructions simulated
sim_ops                                    1090856336                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.241121                       # Number of seconds simulated
sim_ticks                                241120518500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 450991686                       # number of cc regfile reads
system.cpu.cc_regfile_writes                454164556                       # number of cc regfile writes
system.cpu.committedInsts                  1000000001                       # Number of Instructions Simulated
system.cpu.committedOps                    1090856336                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.482241                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.482241                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses           9159                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses              3                       # number of false blocks from MSHR
system.cpu.idleCycles                          121582                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2263239                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                159022189                       # Number of branches executed
system.cpu.iew.exec_nop                      13965165                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.485105                       # Inst execution rate
system.cpu.iew.exec_refs                    400573362                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   91826584                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                28971396                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             293724283                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                791                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             31152                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             96121867                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1227969617                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             308746778                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           6117467                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1198419835                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 523307                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               8760973                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2200415                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               9568723                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           9255                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       909100                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1354139                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1301430148                       # num instructions consuming a value
system.cpu.iew.wb_count                    1168702254                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.532022                       # average fanout of values written-back
system.cpu.iew.wb_producers                 692388911                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.423482                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1170357214                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1692551838                       # number of integer regfile reads
system.cpu.int_regfile_writes               958020228                       # number of integer regfile writes
system.cpu.ipc                               2.073652                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.073652                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                51      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             751502801     62.39%     62.39% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult             48112523      3.99%     66.38% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     7      0.00%     66.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              320923      0.03%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   1      0.00%     66.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt              548883      0.05%     66.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                 10      0.00%     66.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              17      0.00%     66.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv               60646      0.01%     66.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc             402969      0.03%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    2      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                   41      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   42      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    7      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                  17      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  2      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     66.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     66.49% # Type of FU issued
