
---------- Begin Simulation Statistics ----------
final_tick                               474094280500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 237232                       # Simulator instruction rate (inst/s)
host_mem_usage                               18676292                       # Number of bytes of host memory used
host_op_rate                                   291337                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  4215.29                       # Real time elapsed on the host
host_tick_rate                              112470248                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000000                       # Number of instructions simulated
sim_ops                                    1228066786                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.474094                       # Number of seconds simulated
sim_ticks                                474094280500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 322156707                       # number of cc regfile reads
system.cpu.cc_regfile_writes                328146395                       # number of cc regfile writes
system.cpu.committedInsts                  1000000000                       # Number of Instructions Simulated
system.cpu.committedOps                    1228066786                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.948191                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.948191                       # CPI: Total CPI of All Threads
system.cpu.dcache.MSHRs.leapFrogMisses         162582                       # number of false blocks from MSHR
system.cpu.icache.MSHRs.leapFrogMisses           6762                       # number of false blocks from MSHR
system.cpu.idleCycles                        31578089                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              8228281                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                281499630                       # Number of branches executed
system.cpu.iew.exec_nop                       7420644                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.467494                       # Inst execution rate
system.cpu.iew.exec_refs                    501121072                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  140114709                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               109018051                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             329694036                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              16911                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts           1237044                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            146058855                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1406192574                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             361006363                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           9920226                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1391465079                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                2560706                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3930204                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                6366537                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               9379485                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          90418                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      3233573                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        4994708                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1337165800                       # num instructions consuming a value
system.cpu.iew.wb_count                    1340158384                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.564139                       # average fanout of values written-back
system.cpu.iew.wb_producers                 754347766                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.413384                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1342844752                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1662733579                       # number of integer regfile reads
system.cpu.int_regfile_writes               992838122                       # number of integer regfile writes
system.cpu.ipc                               1.054640                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.054640                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              7981      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             888479863     63.40%     63.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              5620484      0.40%     63.80% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                313861      0.02%     63.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     63.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   8      0.00%     63.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt               13194      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult              11709      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc              12266      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  1      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    3      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               231021      0.02%     63.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp               365989      0.03%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               59974      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                445      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               1      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            1      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     63.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     63.87% # Type of FU issued
